,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L02820.1,4,0,1,0,0,0,0,0,1
Eucgr.L02888.1,0,4,2,2,0,1,1,0,0
Eucgr.L03724.1,1,0,0,1,3,3,0,1,4
Eucgr.L02400.1,1,2,1,3,6,38,2,9,11
Eucgr.L02757.1,0,5,0,0,0,0,15,2,0
Eucgr.L03651.1,0,1,0,0,0,0,0,0,8
Eucgr.L02110.1,0,0,0,0,0,0,0,0,0
Eucgr.L02108.1,74,82,89,110,132,154,12,9,81
Eucgr.L03549.1,0,0,0,0,0,0,0,0,0
Eucgr.L01219.1,0,0,0,0,0,0,0,0,0
Eucgr.L01220.1,28,10,14,6,14,9,22,15,12
Eucgr.L01217.1,82,103,78,27,25,33,81,20,3
Eucgr.L01603.1,2,1,0,0,2,0,5,3,0
Eucgr.L01602.1,19,42,12,25,18,23,33,6,30
Eucgr.L03694.1,0,0,0,0,0,0,0,0,0
Eucgr.L03234.1,0,0,0,0,0,0,0,0,0
Eucgr.L01800.1,46,37,17,29,50,41,74,75,129
Eucgr.L01797.1,0,0,0,0,0,0,0,0,0
Eucgr.L01799.1,0,0,0,0,0,0,0,0,0
Eucgr.L01770.1,28,6,49,17,7,9,11,28,5
Eucgr.L01771.1,0,0,0,0,0,0,0,0,0
Eucgr.L02407.1,0,0,0,0,0,0,0,0,0
Eucgr.L03024.1,34,43,24,17,11,8,49,47,55
Eucgr.L02610.1,0,0,0,0,0,0,0,0,0
Eucgr.L01617.1,0,3,2,1,1,0,2,1,5
Eucgr.L03309.1,1,0,0,1,0,0,0,0,1
Eucgr.L02859.1,7,36,13,28,20,24,27,2,56
Eucgr.L02860.1,28,2,48,152,157,201,14,12,34
Eucgr.L02858.1,34,201,47,161,155,215,110,0,213
Eucgr.L01753.1,0,0,0,0,0,0,0,0,0
Eucgr.L03346.1,0,0,0,14,2,12,1,0,10
Eucgr.L03204.1,0,0,0,0,0,0,0,0,0
Eucgr.L02726.1,13,11,5,56,107,83,141,37,23
Eucgr.L01962.1,0,0,0,0,0,0,0,0,0
Eucgr.L03446.1,1,0,0,10,19,6,0,4,0
Eucgr.L01123.1,562,1007,748,1022,807,1073,660,870,814
Eucgr.L01120.1,0,0,0,1,0,1,1,0,0
Eucgr.L01119.1,0,0,0,1,0,0,0,0,0
Eucgr.L02059.1,12,7,26,27,6,19,97,44,259
Eucgr.L01656.1,0,0,0,0,0,0,0,0,0
Eucgr.L01655.1,304,413,361,862,507,847,179,213,317
Eucgr.L02822.1,0,0,0,3,0,0,0,2,7
Eucgr.L03014.1,0,0,0,0,0,0,1,0,2
Eucgr.L03013.1,0,1,0,0,0,0,18,9,0
Eucgr.L02991.1,0,0,0,2,5,0,0,0,2
Eucgr.L02990.1,1,3,0,0,0,0,2,2,0
Eucgr.L02423.1,0,0,0,0,1,0,0,0,0
Eucgr.L02424.1,0,0,0,0,0,0,0,4,0
Eucgr.L01724.1,123,21,87,57,26,44,51,69,94
Eucgr.L01727.1,0,0,0,0,0,0,0,0,0
Eucgr.L01723.1,0,0,0,0,0,0,0,0,0
Eucgr.L01726.1,1,131,1,0,1,0,30,10,2
Eucgr.L02912.1,162,112,174,132,122,157,210,254,34
Eucgr.L02047.1,49,0,60,92,72,104,0,0,0
Eucgr.L02046.1,236,94,225,232,162,226,44,0,4
Eucgr.L03589.1,0,0,0,0,0,0,0,0,0
Eucgr.L02857.1,14,0,3,4,2,6,8,11,10
Eucgr.L02441.1,3,0,2,0,0,0,0,0,0
Eucgr.L01445.1,330,142,284,147,115,159,129,419,161
Eucgr.L01443.1,20,18,18,28,21,27,35,31,74
Eucgr.L01442.1,0,0,0,3,0,0,1,0,1
Eucgr.L01444.1,14,10,13,24,7,12,17,24,28
Eucgr.L03711.1,0,0,0,0,0,0,0,0,0
Eucgr.L03020.1,169,198,195,344,330,379,185,291,218
Eucgr.L02677.1,104,69,131,100,66,89,137,121,123
Eucgr.L02937.1,132,210,132,117,152,204,266,207,212
Eucgr.L02922.1,0,0,0,0,0,3,0,1,8
Eucgr.L03288.1,3,0,0,54,15,55,1,29,24
Eucgr.L02321.1,0,0,0,0,0,0,0,0,0
Eucgr.L03568.1,30,70,27,38,15,98,47,31,22
Eucgr.L02220.1,0,0,0,0,0,0,0,0,0
Eucgr.L01115.1,3,0,0,1,3,6,7,16,4
Eucgr.L03619.1,0,0,0,0,0,0,0,0,0
Eucgr.L02535.1,0,0,0,0,0,0,0,0,0
Eucgr.L01944.1,3,7,9,9,0,14,12,7,14
Eucgr.L01943.1,12,48,14,18,20,24,70,77,12
Eucgr.L01941.1,0,0,0,0,0,0,0,0,0
Eucgr.L00991.1,3,2,7,20,12,22,1,22,39
Eucgr.L00994.1,0,0,0,0,0,1,0,0,0
Eucgr.L00990.1,0,0,0,0,0,0,0,0,0
Eucgr.L01558.1,0,0,0,0,0,0,0,0,0
Eucgr.L02621.1,0,0,0,0,1,1,0,0,1
Eucgr.L02620.1,130,93,136,55,48,89,95,32,62
Eucgr.L01550.1,84,26,51,28,26,31,56,149,41
Eucgr.L01549.1,36,7,14,2,1,2,48,30,42
Eucgr.L01547.1,169,688,180,535,415,636,435,287,351
Eucgr.L01546.1,52,7,27,0,0,0,9,124,98
Eucgr.L01548.1,1107,24,1062,237,582,444,645,736,909
Eucgr.L02639.1,495,327,500,333,293,386,697,646,836
Eucgr.L03436.1,0,0,0,0,0,0,15,0,19
Eucgr.L02704.1,6,4,8,4,4,0,7,0,3
Eucgr.L02705.1,0,1,0,1,2,0,0,0,0
Eucgr.L03061.1,0,1,0,1,3,2,3,0,0
Eucgr.L03761.1,0,0,0,0,0,0,0,0,0
Eucgr.L03760.1,2,2,0,1,0,4,0,2,0
Eucgr.L02085.1,0,1,0,0,0,0,0,0,0
Eucgr.L02084.1,0,0,0,0,0,0,0,0,0
Eucgr.L02716.1,0,0,0,0,0,0,0,0,0
Eucgr.L03243.1,0,0,0,0,0,0,0,0,0
Eucgr.L01528.1,34,13,37,72,52,57,20,116,129
Eucgr.L01527.1,285,130,269,58,118,88,172,269,402
Eucgr.L01531.1,42,71,56,47,50,33,79,126,99
Eucgr.L01530.1,0,0,0,0,0,0,0,0,0
Eucgr.L01566.1,3,8,4,0,2,1,0,0,0
Eucgr.L01565.1,21,29,41,0,6,1,8,0,1
Eucgr.L01561.1,13,28,22,0,9,2,2,0,1
Eucgr.L01564.1,3,6,5,0,0,0,1,0,0
Eucgr.L03074.1,0,0,1,0,0,0,0,0,0
Eucgr.L02097.1,0,60,0,29,6,15,10,4,6
Eucgr.L02632.1,0,0,0,0,0,0,0,0,0
Eucgr.L02633.1,0,0,0,0,0,0,0,0,0
Eucgr.L03718.1,123,436,227,188,250,147,254,281,299
Eucgr.L02520.1,0,0,0,0,0,0,0,0,0
Eucgr.L03442.1,5,0,2,0,2,6,0,16,25
Eucgr.L03571.1,0,0,0,0,0,0,0,0,0
Eucgr.L03219.1,0,0,0,0,0,0,0,0,0
Eucgr.L03220.1,0,0,0,0,0,0,0,0,0
Eucgr.L01852.1,2,0,1,2,0,2,5,1,2
Eucgr.L03390.1,36,18,38,52,46,112,4,0,0
Eucgr.L02233.1,7,1,4,8,8,28,8,2,1
Eucgr.L02232.1,11,0,4,60,43,82,2,0,0
Eucgr.L02952.1,1,0,0,1,1,1,0,1,1
Eucgr.L02953.1,0,0,0,0,0,0,0,0,0
Eucgr.L03607.1,0,0,0,0,0,0,0,0,0
Eucgr.L01604.1,0,0,0,1,1,3,3,4,0
Eucgr.L02710.1,0,0,0,0,0,0,0,0,0
Eucgr.L02419.1,0,0,0,0,0,2,1,0,0
Eucgr.L01312.1,7,7,6,2,6,9,11,9,7
Eucgr.L01310.1,12,0,6,24,45,98,0,0,20
Eucgr.L01309.1,0,0,0,0,0,0,0,0,0
Eucgr.L01311.1,0,0,0,0,2,0,0,0,0
Eucgr.L02901.1,0,0,0,0,0,0,0,0,0
Eucgr.L02375.1,0,0,0,0,0,0,0,0,0
Eucgr.L00878.1,41,34,39,6,3,2,0,67,4
Eucgr.L00881.1,176,255,153,134,212,186,570,607,650
Eucgr.L00876.1,34,3,42,22,13,27,0,3,83
Eucgr.L00877.1,0,0,0,0,0,0,0,0,0
Eucgr.L00874.1,8,8,6,1,3,7,10,9,8
Eucgr.L00875.1,0,0,0,0,0,0,1,1,3
Eucgr.L01324.1,0,0,0,0,0,0,0,0,0
Eucgr.L01323.1,35,27,28,23,20,29,9,22,37
Eucgr.L01326.1,604,690,680,1767,1440,1745,353,523,378
Eucgr.L02749.1,153,114,170,70,65,124,176,98,155
Eucgr.L02750.1,8,2,1,10,6,8,11,5,10
Eucgr.L01818.1,566,4,544,1262,910,1084,173,734,1
Eucgr.L03199.1,7,101,33,14,11,20,14,88,110
Eucgr.L03668.1,24,4,26,15,21,21,20,44,95
Eucgr.L02330.1,0,0,0,0,0,0,0,0,0
Eucgr.L02102.1,22,10,20,29,13,13,46,54,62
Eucgr.L02103.1,69,203,45,288,259,378,60,77,278
Eucgr.L03482.1,3,1,0,1,0,0,1,1,3
Eucgr.L02680.1,6,9,1,4,1,7,6,8,14
Eucgr.L02681.1,0,0,0,0,0,0,0,0,1
Eucgr.L03278.1,11,11,13,43,8,26,31,35,48
Eucgr.L02171.1,752,980,956,1451,1129,1339,505,1331,2066
Eucgr.L00606.1,29,96,28,123,68,108,16,91,3
Eucgr.L00605.1,0,0,0,0,0,0,0,0,0
Eucgr.L00595.1,177,172,179,176,142,196,219,214,216
Eucgr.L00597.1,0,0,0,0,0,0,0,0,0
Eucgr.L00604.1,0,0,0,0,0,0,0,0,0
Eucgr.L00590.1,0,0,0,2,2,0,0,0,0
Eucgr.L00588.1,3255,5046,5107,3202,2988,3555,342,995,943
Eucgr.L00594.1,0,0,0,0,0,0,0,0,0
Eucgr.L00599.1,147,58,115,2,19,3,3,215,102
Eucgr.L00600.1,1129,211,521,89,674,404,1415,1927,2545
Eucgr.L00601.1,0,0,0,0,0,0,0,17,43
Eucgr.L00603.1,10,5,10,10,5,8,2,13,10
Eucgr.L00593.1,0,0,0,0,0,0,0,0,0
Eucgr.L02306.1,1,0,0,0,0,0,0,0,15
Eucgr.L03039.1,0,0,0,2,1,0,0,0,1
Eucgr.L03232.1,9,5,15,10,11,6,28,8,27
Eucgr.L02930.1,0,3,0,1,1,2,0,0,0
Eucgr.L02883.1,61,64,55,93,61,77,49,39,67
Eucgr.L03257.1,20,10,15,46,45,48,2,1,3
