,Mock_A,Mock_B,Mock_C,Mock_D,Time12_A,Time12_B,Time12_C,Time12_D,Time24_A,Time24_B,Time24_C,Time24_D,Time72_A,Time72_B,Time72_C,Time72_D
Ca_00001.1|Ca_LG_1:6359-6790|plus|,2,2,0,1,3,2,1,0,1,4,1,1,0,0,0,0
Ca_00002.1|Ca_LG_1:14686-21282|minus|,70,81,44,35,19,33,65,0,80,228,84,6,0,19,0,0
Ca_00003.1|Ca_LG_1:25112-25660|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00004.1|Ca_LG_1:35844-36977|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00005.1|Ca_LG_1:41278-42503|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00006.1|Ca_LG_1:71881-72641|plus|,66,80,62,121,25,9,42,15,11,36,16,3,1,0,1,0
Ca_00007.1|Ca_LG_1:73915-74216|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00008.1|Ca_LG_1:107445-109896|plus|,250,542,176,236,340,451,578,266,470,1212,625,107,24,28,28,5
Ca_00009.1|Ca_LG_1:134165-138313|plus|,231,203,183,308,1081,561,614,1246,874,930,433,435,284,298,246,30
Ca_00010.1|Ca_LG_1:139628-145069|minus|,3,4,0,6,0,0,1,0,0,3,0,1,0,0,0,0
Ca_00011.1|Ca_LG_1:152456-158017|minus|,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0
Ca_00012.1|Ca_LG_1:161192-162503|plus|,32,47,35,38,102,89,114,103,50,98,43,61,18,20,10,1
Ca_00013.1|Ca_LG_1:171063-172356|plus|,6,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0
Ca_00014.1|Ca_LG_1:183945-184844|minus|,0,0,0,0,2,0,1,1,0,0,0,0,1,1,3,0
Ca_00015.1|Ca_LG_1:217421-218788|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00016.1|Ca_LG_1:222910-224168|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00017.1|Ca_LG_1:228368-230685|plus|,1061,3371,1052,1141,1561,2250,3195,1114,2209,6126,2929,324,36,47,80,5
Ca_00018.1|Ca_LG_1:235717-235923|minus|,6,13,5,8,7,24,34,16,16,42,15,2,1,1,0,0
Ca_00019.1|Ca_LG_1:237315-247392|plus|,11,5,15,25,18,16,13,15,13,19,3,1,6,2,7,0
Ca_00020.1|Ca_LG_1:257354-257689|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00021.1|Ca_LG_1:258623-260467|plus|,2,0,1,0,1,0,0,2,2,2,2,0,0,0,0,0
Ca_00022.1|Ca_LG_1:318830-320817|plus|,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
